Temperature (K),B2V Hard Sphere,B2V Lennard-Jones,B2V Square Well
671.5339417427178,4.9383598972523185e+25,1.5574195963060158e+25,2.7188659538628166e+25
671.6214526815852,4.9383598972523185e+25,1.5576768173208914e+25,2.7191808536782765e+25
671.7089636204526,4.9383598972523185e+25,1.557933958328932e+25,2.7194956643549856e+25
671.7964745593199,4.9383598972523185e+25,1.5581910193639922e+25,2.7198103859307097e+25
671.8839854981873,4.9383598972523185e+25,1.5584480004599117e+25,2.720125018443194e+25
671.9714964370546,4.9383598972523185e+25,1.5587049016505115e+25,2.7204395619301562e+25
672.059007375922,4.9383598972523185e+25,1.5589617229696008e+25,2.720754016429298e+25
672.1465183147893,4.9383598972523185e+25,1.559218464450957e+25,2.7210683819782997e+25
672.2340292536567,4.9383598972523185e+25,1.5594751261283528e+25,2.7213826586148123e+25
672.321540192524,4.9383598972523185e+25,1.5597317080355278e+25,2.7216968463764784e+25
672.4090511313914,4.9383598972523185e+25,1.5599882102062113e+25,2.72201094530091e+25
672.4965620702587,4.9383598972523185e+25,1.560244632674122e+25,2.7223249554257035e+25
672.5840730091261,4.9383598972523185e+25,1.5605009754729422e+25,2.7226388767884287e+25
672.6715839479934,4.9383598972523185e+25,1.5607572386363544e+25,2.722952709426636e+25
672.7590948868608,4.9383598972523185e+25,1.561013422198002e+25,2.7232664533778626e+25
672.8466058257281,4.9383598972523185e+25,1.561269526191523e+25,2.723580108679607e+25
672.9341167645956,4.9383598972523185e+25,1.5615255506505427e+25,2.723893675369369e+25
673.021627703463,4.9383598972523185e+25,1.5617814956086487e+25,2.724207153484609e+25
673.1091386423303,4.9383598972523185e+25,1.5620373610994308e+25,2.7245205430627723e+25
673.1966495811977,4.9383598972523185e+25,1.5622931471564426e+25,2.724833844141285e+25
673.284160520065,4.9383598972523185e+25,1.5625488538132359e+25,2.725147056757552e+25
673.3716714589324,4.9383598972523185e+25,1.5628044811033289e+25,2.7254601809489564e+25
673.4591823977997,4.9383598972523185e+25,1.5630600290602297e+25,2.7257732167528575e+25
673.5466933366671,4.9383598972523185e+25,1.5633154977174243e+25,2.7260861642066004e+25
673.6342042755344,4.9383598972523185e+25,1.5635708871083908e+25,2.7263990233475023e+25
